#,店名,ジャンル,価格,エリア,URL,備考
1,ビストロソングラム,肉料理,"¥6,000-7,000",新橋,"https://tabelog.com/tokyo/A1301/A130103/13206340/",
2,タカマル鮮魚店,海鮮,"¥3,000-4,000",新橋,"https://tabelog.com/tokyo/A1301/A130103/13237129/",
3,三政,焼き鳥,"¥5,000-6,000",新橋,"https://tabelog.com/tokyo/A1301/A130103/13001520/",席少なめ
4,プラチナフィッシュ KAPPO,和食,"¥6,000-7,000",新橋,"https://tabelog.com/tokyo/A1301/A130103/13275872/",席少なめ
5,酒と肴 ひらの,日本酒バー,"¥4,000-5,000",新橋,"https://tabelog.com/tokyo/A1301/A130103/13236360/",
